date,sales
2023-01-01,51
2023-01-02,50
2023-01-03,55
2023-01-04,54
2023-01-05,45
2023-01-06,45
2023-01-07,49
2023-01-08,50
2023-01-09,53
2023-01-10,52
2023-01-11,54
2023-01-12,51
2023-01-13,48
2023-01-14,51
2023-01-15,52
2023-01-16,52
2023-01-17,55
2023-01-18,51
2023-01-19,52
2023-01-20,49
2023-01-21,49
2023-01-22,51
2023-01-23,57
2023-01-24,55
2023-01-25,53
2023-01-26,51
2023-01-27,51
2023-01-28,51
2023-01-29,54
2023-01-30,56
2023-01-31,60
2023-02-01,54
2023-02-02,51
2023-02-03,49
2023-02-04,52
2023-02-05,56
2023-02-06,56
2023-02-07,55
2023-02-08,53
2023-02-09,54
2023-02-10,53
2023-02-11,53
2023-02-12,53
2023-02-13,57
2023-02-14,57
2023-02-15,56
2023-02-16,55
2023-02-17,52
2023-02-18,54
2023-02-19,55
2023-02-20,58
2023-02-21,59
2023-02-22,53
2023-02-23,53
2023-02-24,51
2023-02-25,52
2023-02-26,55
2023-02-27,61
2023-02-28,57
2023-03-01,59
2023-03-02,51
2023-03-03,52
2023-03-04,54
2023-03-05,57
2023-03-06,60
2023-03-07,60
2023-03-08,56
2023-03-09,54
2023-03-10,55
2023-03-11,53
2023-03-12,54
2023-03-13,56
2023-03-14,57
2023-03-15,59
2023-03-16,55
2023-03-17,55
2023-03-18,53
2023-03-19,57
2023-03-20,60
2023-03-21,59
2023-03-22,59
2023-03-23,54
2023-03-24,53
2023-03-25,53
2023-03-26,54
2023-03-27,60
2023-03-28,59
2023-03-29,58
2023-03-30,56
2023-03-31,55
2023-04-01,56
2023-04-02,57
2023-04-03,58
2023-04-04,60
2023-04-05,55
2023-04-06,53
2023-04-07,51
2023-04-08,53
2023-04-09,58
2023-04-10,57
2023-04-11,59
2023-04-12,61
2023-04-13,55
2023-04-14,56
2023-04-15,53
2023-04-16,57
2023-04-17,57
2023-04-18,59
2023-04-19,60
2023-04-20,52
2023-04-21,55
2023-04-22,55
2023-04-23,56
2023-04-24,56
2023-04-25,60
2023-04-26,57
2023-04-27,56
2023-04-28,54
2023-04-29,58
2023-04-30,56
2023-05-01,57
2023-05-02,60
2023-05-03,59
2023-05-04,58
2023-05-05,55
2023-05-06,55
2023-05-07,60
2023-05-08,57
2023-05-09,58
2023-05-10,56
2023-05-11,54
2023-05-12,51
