sessions_frequency,duration,total_traffic,clusters,score,msisdn
1.0,116720.0,878690574.0,0,0.0001421999918106462,33601001722.0
1.0,181230.0,156859643.0,2,0.0008803295458566694,33601001754.0
1.0,134969.0,595966483.0,0,4.856322382364651e-05,33601002511.0
1.0,49878.0,422320698.0,0,0.0001569294501843885,33601007832.0
2.0,37104.0,1457410944.0,0,0.00024957516381316,33601008617.0
2.0,253983.0,615217221.0,0,0.00013780063870048168,33601010682.0
2.0,128360.0,654723066.0,0,7.898165491355066e-05,33601011634.0
1.0,86399.0,332660357.0,0,1.5312652495371063e-05,33601011959.0
2.0,322904.0,990132189.0,0,5.1088088410686334e-05,33601014694.0
1.0,124854.0,732463761.0,0,0.00010457643259702984,33601020306.0
1.0,248424.0,114976036.0,1,0.0018856212876458213,33601021045.0
1.0,38416.0,630092434.0,0,0.00021406517726820662,33601021217.0
1.0,97363.0,482419082.0,0,7.32115651724193e-05,33601022743.0
1.0,242317.0,358911900.0,2,0.0004001092835085612,33601024291.0
1.0,169979.0,230324396.0,2,0.0004629640969160223,33601025738.0
1.0,34544.0,541779966.0,0,0.00021127380775471164,33601026147.0
1.0,91753.0,697559667.0,0,0.00014349974242282794,33601027208.0
1.0,55730.0,637053075.0,0,0.00018755307245903812,33601031129.0
1.0,74893.0,647203715.0,0,0.00015931619434929225,33601032987.0
1.0,56313.0,775900974.0,0,0.0002024564492338789,33601034530.0
2.0,226752.0,1122862615.0,0,7.309301178432848e-05,33601034784.0
1.0,135664.0,418991822.0,0,4.875272824966141e-05,33601035197.0
1.0,100371.0,159264496.0,2,0.0003551816937164324,33601036379.0
1.0,98337.0,460886348.0,0,6.166904654947914e-05,33601037966.0
1.0,79098.0,599733815.0,0,0.0001431454996791203,33601041557.0
1.0,82844.0,846693854.0,0,0.00017718990731945884,33601044885.0
1.0,253872.0,272021271.0,2,0.0006582456636953961,33601044963.0
1.0,31778.0,250441008.0,0,0.00014814584502302657,33601047438.0
2.0,114309.0,1073050283.0,0,0.0001685068489681671,33601048751.0
1.0,29046.0,175382988.0,0,0.00010941931644297956,33601050219.0
2.0,138731.0,413792006.0,0,6.023344918948604e-05,33601054608.0
1.0,93304.0,786678318.0,0,0.0001564289870959844,33601055238.0
2.0,322904.0,1449852718.0,0,5.231897749707346e-05,33601055260.0
2.0,205408.0,461634852.0,2,0.00016992369897549984,33601055375.0
1.0,170907.0,597412570.0,0,1.1044660863302322e-05,33601056091.0
1.0,10532.0,769716233.0,0,0.00026135104456379585,33601062786.0
2.0,139774.0,1102608710.0,0,0.00014826737194278885,33601063991.0
